Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
Finance;Colombia;Manager;1;0.8;0.75;4;249;3;0;0;0;low;M;5
Human Resources;Japan;Level 2-4;1;0.8;0.75;5;176;4;0;0;0;low;M;2
IT;Australia;Level 2-4;0;0.8;0.75;4;272;4;0;0;0;low;M;3
Warehouse;France;Level 2-4;1;0.8;0.75;4;192;2;0;0;0;low;M;7
Operations;Turkey;Level 2-4;0;0.8;0.75;6;100;4;1;0;0;low;M;3
Sales;France;Level 2-4;1;0.8;0.75;2;271;6;0;0;0;low;F;2
Finance;Australia;Level 2-4;1;0.8;0.75;4;165;3;0;0;0;high;M;5
Human Resources;US;Level 2-4;1;0.8;0.75;3;124;4;0;0;0;medium;F;10
IT;Korea;Level 2-4;1;0.8;0.75;4;193;4;0;0;0;low;F;4
Warehouse;Korea;Level 2-4;1;0.8;0.75;3;156;3;0;0;0;medium;M;2
Operations;UK;Level 2-4;1;0.8;0.75;5;170;3;1;0;0;medium;M;10
Sales;Korea;Level 2-4;0;0.8;0.75;2;243;5;1;0;0;medium;M;5
Finance;Japan;Level 2-4;0;0.8;0.75;3;163;2;1;0;0;low;F;7
Human Resources;US;Level 2-4;1;0.8;0.75;4;201;2;0;0;0;low;F;4
IT;Australia;Level 2-4;1;0.8;0.75;3;232;3;0;0;0;low;M;10
Warehouse;US;Level 2-4;0;0.8;0.75;3;214;3;0;0;0;medium;F;2
Operations;Korea;Level 2-4;1;0.8;0.75;3;149;2;1;0;0;medium;F;7
Sales;Japan;Level 2-4;1;0.8;0.75;3;122;3;0;0;0;high;F;10
Finance;China;Level 2-4;1;0.8;0.75;3;253;4;0;0;0;low;M;2
Human Resources;Turkey;Level 2-4;0;0.8;0.75;2;123;4;0;0;0;medium;M;8
IT;Korea;Level 2-4;1;0.8;0.75;4;261;3;0;0;0;medium;F;2
Warehouse;Colombia;Level 2-4;1;0.8;0.75;5;235;3;1;0;0;low;F;7
Operations;Korea;Level 2-4;1;0.8;0.75;2;141;4;0;0;0;medium;M;8
Sales;Australia;Level 2-4;1;0.8;0.75;3;241;2;0;0;0;low;M;8
Finance;Colombia;Level 2-4;0;0.8;0.75;4;253;2;0;0;0;low;F;9
Human Resources;Australia;Level 2-4;0;0.8;0.75;4;177;2;0;0;0;low;F;6
IT;Turkey;Level 2-4;0;0.8;0.75;5;160;3;1;0;0;high;M;10
Warehouse;US;Level 2-4;0;0.8;0.75;3;134;3;0;0;0;low;F;9
Operations;China;Level 2-4;1;0.8;0.75;5;258;2;0;0;0;medium;F;4
Sales;UK;Level 2-4;1;0.8;0.75;5;188;2;0;0;0;low;M;6
Finance;China;Level 2-4;0;0.8;0.75;5;270;3;1;0;0;medium;F;5
Human Resources;Japan;Level 2-4;0;0.8;0.75;3;243;2;0;0;0;medium;M;10
IT;Colombia;Level 2-4;1;0.8;0.75;2;100;4;0;0;0;low;M;3
Warehouse;Japan;Level 2-4;0;0.8;0.75;3;134;4;0;0;0;medium;M;7
Operations;Australia;Level 2-4;0;0.8;0.75;4;255;3;0;0;0;medium;M;3
Sales;France;Level 2-4;1;0.8;0.75;3;260;2;0;0;0;low;M;8
Finance;Turkey;Level 2-4;0;0.8;0.75;5;265;3;0;0;0;low;M;6
Human Resources;US;Level 2-4;0;0.8;0.75;2;221;3;0;0;0;low;M;2
IT;Turkey;Level 2-4;0;0.8;0.75;5;157;4;0;0;0;low;M;9
Warehouse;Korea;Level 2-4;0;0.8;0.75;4;222;3;1;0;0;low;F;8
Operations;Colombia;Level 2-4;0;0.8;0.75;5;179;3;0;0;0;low;M;7
Sales;Korea;Level 2-4;1;0.8;0.75;3;231;3;0;0;0;low;F;5
Finance;Japan;Level 2-4;0;0.8;0.75;3;228;2;0;0;0;low;M;6
Human Resources;Korea;Level 2-4;1;0.8;0.75;2;264;2;0;0;0;low;M;9
IT;China;Level 2-4;1;0.8;0.75;4;170;3;0;0;0;medium;F;2
Warehouse;Korea;Level 2-4;0;0.8;0.75;3;159;2;0;0;0;medium;F;3
Operations;China;Level 2-4;0;0.8;0.75;3;166;3;0;0;1;high;M;6
Sales;UK;Level 2-4;1;0.8;0.75;3;234;2;1;0;0;medium;M;8
Finance;Turkey;Level 2-4;0;0.8;0.75;6;215;5;0;0;0;medium;F;5
Human Resources;China;Level 2-4;0;0.8;0.75;3;179;2;1;0;0;high;F;8
IT;France;Level 2-4;1;0.8;0.75;3;180;3;0;0;0;medium;M;8
Warehouse;Australia;Level 2-4;0;0.8;0.75;4;149;3;0;0;0;low;M;9
Operations;Australia;Level 2-4;1;0.8;0.75;3;150;3;0;0;0;low;M;1
Sales;Korea;Level 2-4;1;0.8;0.75;4;155;3;0;0;0;low;F;4
Finance;Colombia;Level 2-4;1;0.8;0.75;4;199;2;0;0;0;medium;M;4
Human Resources;Korea;Level 2-4;1;0.8;0.75;4;169;2;0;0;0;low;F;10
IT;UK;Level 2-4;1;0.8;0.75;6;276;6;0;0;0;low;F;8
Warehouse;China;Level 2-4;1;0.8;0.75;4;257;3;0;0;0;low;F;1
Operations;China;Level 2-4;0;0.8;0.75;4;153;2;0;0;0;medium;M;1
Sales;Turkey;Level 2-4;1;0.8;0.75;5;228;4;0;0;0;low;M;6
Finance;Australia;Level 2-4;0;0.8;0.75;4;133;2;0;0;0;medium;F;4
Human Resources;Australia;Level 2-4;1;0.8;0.75;4;206;3;0;0;0;medium;F;10
IT;Korea;Level 2-4;0;0.8;0.75;4;263;5;0;0;0;low;M;9
Warehouse;Japan;Level 2-4;0;0.8;0.75;4;190;2;0;0;0;medium;F;4
Operations;UK;Level 1;0;0.8;0.75;4;175;2;0;0;0;medium;M;4
Sales;Australia;Level 1;0;0.8;0.75;3;272;3;0;0;0;low;M;2
Finance;Turkey;Level 1;1;0.8;0.75;4;111;4;1;0;0;medium;M;10
Human Resources;Korea;Level 1;0;0.8;0.75;5;233;3;1;0;0;low;F;5
IT;Australia;Level 1;1;0.8;0.75;5;235;3;1;0;0;low;F;4
Warehouse;China;Level 1;1;0.8;0.75;3;255;4;0;0;0;medium;M;5
Operations;Colombia;Level 1;0;0.8;0.75;4;216;2;0;0;0;low;F;6
Sales;China;Level 1;1;0.8;0.75;4;266;3;0;0;0;medium;F;5
Finance;Japan;Level 1;0;0.8;0.75;4;200;4;0;0;0;medium;F;7
Human Resources;Korea;Level 1;1;0.8;0.75;3;194;3;0;0;0;medium;F;6
IT;UK;Level 1;1;0.8;0.75;4;220;3;0;0;0;low;M;3
Warehouse;Colombia;Level 1;1;0.8;0.75;4;270;2;0;0;0;low;F;1
Operations;France;Level 1;0;0.8;0.75;3;168;3;0;0;0;medium;M;2
Sales;Australia;Level 1;0;0.8;0.75;4;172;4;0;0;0;medium;M;8
Finance;Colombia;Level 1;1;0.8;0.75;4;168;3;0;0;0;high;F;4
Human Resources;France;Level 1;0;0.8;0.75;5;243;3;1;0;0;low;M;4
IT;Australia;Level 1;1;0.8;0.75;3;181;3;0;0;0;low;F;1
Warehouse;UK;Level 1;1;0.8;0.75;3;167;2;0;0;0;low;F;2
Operations;UK;Level 1;1;0.8;0.75;4;224;3;0;0;0;low;F;3
Sales;Japan;Level 1;0;0.8;0.75;5;252;3;0;0;0;medium;M;6
Finance;Japan;Level 1;1;0.8;0.75;4;266;3;0;0;0;medium;M;8
Human Resources;China;Level 1;1;0.8;0.75;4;144;2;0;0;0;low;F;5
IT;China;Level 1;1;0.8;0.75;3;222;3;0;0;0;low;M;4
Warehouse;US;Level 1;0;0.8;0.75;4;199;3;0;0;0;low;M;10
Operations;Australia;Level 1;0;0.8;0.75;3;214;3;0;0;0;medium;F;2
Sales;Korea;Level 1;0;0.8;0.75;3;258;3;0;0;0;medium;F;2
Finance;Japan;Level 1;0;0.8;0.75;3;194;4;1;0;0;low;M;1
Human Resources;Colombia;Level 1;1;0.8;0.75;5;201;3;0;0;0;low;M;2
IT;Colombia;Level 1;1;0.8;0.75;3;243;3;0;0;0;medium;F;5
Warehouse;Turkey;Level 1;0;0.8;0.75;5;264;3;0;0;0;medium;M;2
Operations;China;VP;0;0.8;0.75;4;204;3;0;0;0;medium;F;4
Sales;US;Senior Director;0;0.8;0.75;3;239;2;0;0;0;low;F;3
Finance;US;Senior Director;0;0.8;0.75;5;168;4;1;0;0;medium;M;5
Human Resources;Japan;Senior Director;0;0.8;0.75;5;229;2;1;0;0;medium;F;10
IT;US;Director;0;0.8;0.75;2;246;2;0;0;0;medium;M;1
Warehouse;Turkey;Director;1;0.8;0.75;4;217;2;0;0;0;low;M;6
Operations;Japan;Director;0;0.8;0.75;4;166;2;0;0;0;low;F;6
Sales;US;Director;1;0.8;0.75;4;159;2;0;0;0;high;M;3
Finance;Turkey;Director;1;0.8;0.75;6;220;3;0;0;0;medium;M;1
Human Resources;France;Director;0;0.8;0.75;5;172;4;0;0;0;medium;F;10
IT;UK;Senior Manager;1;0.8;0.75;3;262;3;0;0;0;medium;M;2
Warehouse;France;Senior Manager;1;0.8;0.75;4;194;2;0;0;0;low;F;1
Operations;France;Senior Manager;1;0.8;0.75;3;232;2;0;0;0;medium;M;10
Sales;Colombia;Senior Manager;1;0.8;0.75;4;259;3;0;0;0;medium;M;3
Finance;Turkey;Senior Manager;1;0.8;0.75;4;259;3;1;0;0;low;F;1
Human Resources;China;Senior Manager;1;0.8;0.75;4;246;3;1;0;0;low;M;10
IT;France;Senior Manager;1;0.8;0.75;3;247;2;0;0;0;medium;F;2
Warehouse;UK;Senior Manager;1;0.8;0.75;2;137;3;1;0;0;low;M;1
Operations;Turkey;Senior Manager;1;0.8;0.75;2;273;2;0;0;0;high;M;5
Sales;Turkey;Senior Manager;1;0.8;0.75;5;152;3;0;0;0;high;F;5
Finance;Australia;Senior Manager;1;0.8;0.75;3;235;4;0;0;0;high;M;7
Human Resources;France;Senior Manager;1;0.8;0.75;4;212;3;0;0;0;low;F;3
IT;Turkey;Manager;0;0.8;0.75;5;286;5;0;0;0;low;F;3
Warehouse;US;Manager;0;0.8;0.75;4;151;2;0;0;0;medium;M;6
Operations;UK;Manager;1;0.8;0.75;3;204;3;0;0;0;low;M;6
Sales;China;Manager;0;0.8;0.75;3;191;3;0;0;0;low;M;1
Finance;Korea;Manager;0;0.8;0.75;3;221;3;0;0;0;low;F;1
Human Resources;UK;Manager;1;0.8;0.75;3;161;3;0;0;0;low;M;2
IT;Colombia;Manager;1;0.8;0.75;4;183;4;1;0;0;low;M;9
Warehouse;UK;Manager;1;0.8;0.75;4;243;2;0;0;0;low;F;6
Operations;Australia;Manager;1;0.8;0.75;5;194;5;1;0;0;low;M;8
Sales;Australia;Manager;0;0.8;0.75;4;266;3;0;0;0;medium;M;4
Finance;France;Manager;1;0.8;0.75;4;249;4;0;0;0;medium;M;10
Human Resources;Japan;Manager;1;0.8;0.75;5;133;2;0;0;0;low;F;10
IT;Turkey;Manager;0;0.8;0.75;4;244;4;0;0;0;low;M;10
Warehouse;UK;Manager;1;0.8;0.75;4;235;3;0;0;0;medium;F;6
Operations;Turkey;Manager;0;0.8;0.75;3;166;2;0;0;0;low;F;10
Sales;Colombia;Manager;0;0.8;0.75;4;239;2;0;0;0;low;F;10
Finance;France;Manager;0;0.8;0.75;4;141;3;0;0;0;low;M;7
Human Resources;Colombia;Manager;0;0.8;0.75;2;168;2;0;0;0;low;F;1
IT;Colombia;Manager;0;0.8;0.75;4;203;3;0;0;0;low;F;4
Warehouse;France;Manager;0;0.8;0.75;5;171;4;0;0;0;medium;F;9
Operations;Korea;Manager;1;0.8;0.75;3;120;4;0;0;0;high;M;10
Sales;Japan;Manager;1;0.8;0.75;4;240;4;0;0;0;low;F;6
Finance;Colombia;Level 2-4;1;0.8;0.75;5;178;6;0;0;0;medium;M;10
Human Resources;US;Level 2-4;1;0.8;0.75;3;237;3;0;0;0;high;F;9
IT;UK;Level 2-4;1;0.8;0.75;3;169;3;0;0;0;low;F;3
Warehouse;US;Level 2-4;1;0.8;0.75;4;169;4;0;0;0;low;F;10
Operations;France;Level 2-4;1;0.8;0.75;4;201;2;0;0;0;medium;F;8
Sales;US;Level 2-4;0;0.8;0.75;4;249;4;0;0;0;medium;M;4
Finance;France;Level 2-4;0;0.8;0.75;5;101;5;0;0;0;medium;F;1
Human Resources;Australia;Level 2-4;0;0.8;0.75;3;140;3;0;0;0;low;M;6
IT;China;Level 2-4;0;0.8;0.75;3;214;3;0;0;0;medium;M;1
Warehouse;US;Level 2-4;0;0.8;0.75;5;196;3;0;0;0;medium;F;6
Operations;Korea;Level 2-4;1;0.8;0.75;3;204;2;0;0;0;high;M;7
Sales;China;Level 2-4;0;0.8;0.75;4;159;3;1;0;0;low;M;9
Finance;Australia;Level 2-4;1;0.8;0.75;4;175;4;0;0;0;medium;F;4
Human Resources;UK;Level 2-4;0;0.8;0.75;4;163;2;0;0;0;low;F;3
IT;Japan;Level 2-4;0;0.8;0.75;6;271;10;0;0;0;medium;F;2
Warehouse;Australia;Level 2-4;1;0.8;0.75;4;191;3;0;0;0;medium;M;1
Operations;US;Level 2-4;0;0.8;0.75;4;135;3;0;0;1;medium;F;5
Sales;France;Level 2-4;1;0.8;0.75;4;224;3;0;0;1;medium;F;3
Finance;Turkey;Level 2-4;0;0.8;0.75;3;142;2;0;0;0;low;F;5
Human Resources;Australia;Level 2-4;0;0.8;0.75;6;246;6;0;0;0;low;F;9
IT;Turkey;Level 2-4;1;0.8;0.75;5;165;4;0;0;0;medium;F;3
Warehouse;Australia;Level 2-4;1;0.8;0.75;3;150;4;0;0;1;medium;F;8
Operations;Turkey;Level 2-4;0;0.8;0.75;3;170;7;0;0;0;low;F;7
Sales;Colombia;Level 2-4;1;0.8;0.75;2;147;3;0;0;0;low;F;5
Finance;Turkey;Level 2-4;1;0.8;0.75;4;151;3;0;0;0;medium;M;10
Human Resources;Korea;Level 2-4;0;0.8;0.75;3;259;8;1;0;0;high;F;6
IT;France;Level 2-4;0;0.8;0.75;4;211;4;0;0;0;medium;M;8
Warehouse;UK;Level 2-4;1;0.8;0.75;4;249;10;0;0;0;medium;M;7
Operations;UK;Level 2-4;0;0.8;0.75;3;133;3;0;0;0;medium;M;1
Sales;Korea;Level 2-4;1;0.8;0.75;4;258;3;0;0;0;high;M;10
Finance;China;Level 2-4;0;0.8;0.75;3;253;3;0;0;0;high;F;8
Human Resources;US;Level 2-4;1;0.8;0.75;6;185;3;0;0;1;high;F;1
IT;China;Level 2-4;1;0.8;0.75;3;268;2;0;1;0;medium;F;4
Warehouse;France;Level 2-4;1;0.8;0.75;3;218;4;0;1;0;medium;M;8
Operations;US;Level 2-4;1;0.8;0.75;3;140;3;0;0;0;low;M;9
Sales;UK;Level 2-4;1;0.8;0.75;3;214;3;0;0;0;medium;F;9
Finance;France;Level 2-4;1;0.8;0.75;5;196;3;0;0;0;medium;M;2
Human Resources;Japan;Level 2-4;0;0.8;0.75;3;204;2;0;0;0;high;F;2
IT;China;Level 2-4;1;0.8;0.75;4;159;3;1;0;0;low;M;4
Warehouse;UK;Level 2-4;1;0.8;0.75;4;175;4;0;0;0;medium;F;5
Operations;UK;Level 2-4;0;0.8;0.75;4;163;2;0;0;0;low;F;9
Sales;Korea;Level 2-4;1;0.8;0.75;6;271;10;0;0;0;medium;M;5
Finance;UK;Level 2-4;1;0.8;0.75;4;191;3;0;0;0;medium;F;6
Human Resources;Colombia;Level 2-4;1;0.8;0.75;4;135;3;0;0;1;medium;F;6
IT;France;Level 2-4;1;0.8;0.75;4;224;3;0;0;1;medium;F;9
Warehouse;Colombia;Level 2-4;0;0.8;0.75;3;142;2;0;0;0;low;F;8
Operations;Japan;Level 2-4;0;0.8;0.75;6;246;6;0;0;0;low;F;1
Sales;Japan;Level 2-4;0;0.8;0.75;5;165;4;0;0;0;medium;M;7
Finance;Korea;Level 2-4;0;0.8;0.75;3;150;4;0;0;1;medium;F;8
Human Resources;Turkey;Level 2-4;1;0.8;0.75;3;170;7;0;0;0;low;M;7
IT;Turkey;Level 2-4;1;0.8;0.75;2;147;3;0;0;0;low;M;3
Warehouse;UK;Level 2-4;0;0.8;0.75;4;151;3;0;0;0;medium;F;6
Operations;France;Level 2-4;0;0.8;0.75;3;259;8;1;0;0;high;M;3
Sales;UK;Level 2-4;0;0.8;0.75;4;211;4;0;0;0;medium;F;10
Finance;Japan;Level 2-4;1;0.8;0.75;4;249;10;0;0;0;medium;F;2
Human Resources;Colombia;Level 2-4;0;0.8;0.75;3;133;3;0;0;0;medium;F;4
IT;Japan;Level 2-4;1;0.8;0.75;4;258;3;0;0;0;high;F;1
Warehouse;Turkey;Level 2-4;0;0.8;0.75;3;253;3;0;0;0;high;M;1
Operations;UK;Level 2-4;0;0.8;0.75;6;185;3;0;0;1;high;F;8
Sales;Japan;Level 2-4;1;0.8;0.75;3;268;2;0;1;0;medium;M;8
Finance;Australia;Level 2-4;1;0.8;0.75;4;277;5;1;1;0;medium;M;3
Human Resources;US;Level 2-4;1;0.8;0.76;2;157;4;0;1;0;low;M;3
IT;UK;Level 2-4;0;0.8;0.76;5;132;6;0;1;0;low;F;8
Warehouse;US;Level 1;0;0.8;0.76;5;104;4;0;0;0;low;M;3
Operations;Australia;Level 1;0;0.8;0.76;3;213;2;1;0;0;medium;F;6
Sales;Japan;Level 1;1;0.8;0.76;5;172;2;1;0;0;high;F;1
Finance;US;Level 1;0;0.8;0.76;5;168;4;1;0;0;low;M;10
Human Resources;Turkey;Level 1;0;0.8;0.76;5;192;3;0;0;0;medium;M;3
IT;Australia;Level 1;1;0.8;0.76;4;189;2;0;0;0;low;M;10
Warehouse;Turkey;Level 1;0;0.8;0.76;5;255;6;0;0;0;low;M;3
Operations;France;Level 1;1;0.8;0.76;5;152;3;0;0;0;low;F;2
Sales;Korea;Level 1;0;0.8;0.76;4;171;5;0;0;0;low;F;2
Finance;UK;Level 1;0;0.8;0.76;4;177;3;0;0;0;medium;F;4
Human Resources;Turkey;Level 1;1;0.8;0.76;3;160;3;0;0;0;low;F;4
IT;France;Level 1;0;0.8;0.76;4;233;4;0;0;0;low;M;3
Warehouse;Korea;Level 1;1;0.8;0.76;3;216;3;0;0;0;low;F;10
Operations;Australia;Level 1;1;0.8;0.76;5;222;3;1;0;0;low;F;6
Sales;Japan;Level 1;0;0.8;0.76;5;260;2;1;0;0;low;M;10
Finance;France;Level 1;0;0.8;0.76;5;239;2;0;0;0;low;M;5
Human Resources;France;Level 1;1;0.8;0.76;4;204;2;0;0;0;medium;F;9
IT;UK;Level 1;0;0.8;0.76;3;116;5;0;0;0;low;F;6
Warehouse;US;Level 1;1;0.8;0.76;4;245;3;0;0;0;low;M;8
Operations;Colombia;Level 1;1;0.8;0.76;4;280;5;0;0;0;low;F;3
Sales;US;Level 1;0;0.8;0.76;3;155;4;1;0;0;low;M;6
Finance;US;Level 1;1;0.8;0.76;3;139;5;0;0;0;low;M;8
Human Resources;China;Level 1;0;0.8;0.76;5;237;3;0;0;0;high;M;9
IT;Japan;Level 1;1;0.8;0.76;2;211;4;0;0;0;low;M;1
Warehouse;France;Level 1;0;0.8;0.76;3;220;3;0;0;0;medium;F;5
Operations;China;Level 1;1;0.8;0.76;5;134;2;0;0;0;low;M;8
Sales;US;Level 1;0;0.8;0.76;3;208;2;0;0;0;low;F;7
Finance;Japan;Level 1;0;0.8;0.76;5;198;4;0;0;0;medium;M;2
Human Resources;Japan;Level 1;0;0.8;0.76;5;277;4;0;0;0;low;M;2
IT;Japan;Level 1;1;0.8;0.76;4;144;3;1;0;0;low;M;1
Warehouse;Japan;VP;0;0.8;0.76;5;201;3;0;0;0;low;M;4
Operations;France;Senior Director;1;0.8;0.76;3;201;4;0;0;0;medium;F;9
Sales;Australia;Senior Director;0;0.8;0.76;5;236;2;0;0;0;low;F;2
Finance;China;Senior Director;1;0.8;0.76;4;142;2;1;0;0;low;M;2
Human Resources;Australia;Director;1;0.8;0.76;5;172;5;1;0;0;medium;F;1
IT;Korea;Director;0;0.8;0.76;4;217;2;1;0;0;medium;F;2
Warehouse;France;Director;1;0.8;0.76;4;231;3;1;0;0;high;M;3
Operations;Australia;Director;1;0.8;0.76;3;200;2;0;0;0;low;F;5
Sales;China;Director;0;0.8;0.76;5;260;6;0;0;0;high;M;10
Finance;China;Director;0;0.8;0.76;2;216;3;1;0;0;medium;F;2
Human Resources;Korea;Senior Manager;0;0.8;0.76;5;215;2;1;0;0;low;M;3
IT;Australia;Senior Manager;0;0.8;0.76;5;217;3;0;0;0;low;M;6
Warehouse;France;Senior Manager;0;0.8;0.76;3;244;3;0;0;0;low;M;3
Operations;Japan;Senior Manager;0;0.8;0.76;4;221;3;1;0;0;low;M;10
Sales;France;Senior Manager;0;0.8;0.76;4;207;2;0;0;0;medium;M;4
Finance;Colombia;Senior Manager;0;0.8;0.76;3;190;3;1;0;0;medium;M;2
Human Resources;Japan;Senior Manager;0;0.8;0.76;3;199;4;0;0;0;low;M;7
IT;France;Senior Manager;0;0.8;0.76;6;246;3;1;0;1;medium;M;7
Warehouse;Colombia;Senior Manager;1;0.8;0.76;3;195;3;0;0;0;medium;F;10
Operations;UK;Senior Manager;1;0.8;0.76;3;244;3;0;0;0;medium;M;10
Sales;China;Senior Manager;0;0.8;0.76;2;158;3;0;0;0;high;F;1
Finance;France;Senior Manager;0;0.8;0.76;4;254;4;0;0;0;low;F;4
Human Resources;Colombia;Manager;0;0.8;0.76;3;236;2;1;0;0;medium;F;8
IT;France;Manager;1;0.8;0.76;5;255;4;0;0;0;medium;M;9
Warehouse;Australia;Manager;0;0.8;0.76;3;224;2;0;0;0;low;M;9
Operations;Turkey;Manager;1;0.8;0.76;2;204;4;0;0;0;high;M;5
Sales;China;Manager;1;0.8;0.76;3;150;2;0;0;0;medium;M;3
Finance;UK;Manager;1;0.8;0.76;3;134;2;0;0;0;high;M;1
Human Resources;Turkey;Manager;0;0.8;0.76;3;157;4;0;0;0;low;M;7
IT;Japan;Manager;1;0.8;0.76;3;257;2;1;0;0;medium;F;1
Warehouse;UK;Manager;0;0.8;0.76;5;165;3;0;0;0;medium;F;10
Operations;Turkey;Manager;1;0.8;0.76;5;175;4;0;0;0;low;M;4
Sales;US;Manager;1;0.8;0.76;3;201;2;0;0;0;medium;F;8
Finance;US;Manager;1;0.8;0.76;3;175;2;0;0;0;medium;M;2
Human Resources;UK;Manager;0;0.8;0.76;4;185;5;0;0;0;low;M;7
IT;Japan;Manager;0;0.8;0.76;4;202;3;0;0;0;low;M;7
Warehouse;US;Manager;1;0.8;0.76;3;270;2;1;0;0;low;M;4
Operations;Australia;Manager;0;0.8;0.76;5;175;3;0;0;0;low;M;7
Sales;Japan;Manager;0;0.8;0.76;4;149;3;0;0;0;medium;F;3
Finance;France;Manager;1;0.8;0.76;3;223;3;0;0;0;medium;F;4
Human Resources;Turkey;Manager;0;0.8;0.76;5;143;4;0;0;1;low;F;10
IT;China;Manager;1;0.8;0.76;3;203;3;0;0;0;medium;M;7
Warehouse;France;Manager;1;0.8;0.76;4;165;6;1;0;0;low;F;5
Operations;Japan;Manager;1;0.8;0.76;4;255;6;0;0;0;low;M;3
Sales;Turkey;Level 2-4;1;0.8;0.76;4;218;2;0;0;0;low;F;7
Finance;Korea;Level 2-4;0;0.8;0.76;4;193;2;0;0;0;medium;F;1
Human Resources;UK;Level 2-4;0;0.8;0.76;5;187;3;0;0;0;low;F;3
IT;China;Level 2-4;0;0.8;0.76;3;246;3;0;0;0;low;M;1
Warehouse;France;Level 2-4;0;0.8;0.76;3;237;3;0;0;0;medium;F;10
Operations;Australia;Level 2-4;1;0.8;0.76;3;269;3;1;0;0;medium;M;5
Sales;China;Level 2-4;1;0.8;0.76;3;107;5;0;0;0;low;F;4
Finance;Japan;Level 2-4;1;0.8;0.76;3;147;3;1;0;0;low;M;4
Human Resources;Korea;Level 2-4;0;0.8;0.76;3;111;5;0;0;0;medium;F;1
IT;US;Level 2-4;0;0.8;0.76;3;197;3;0;0;0;medium;F;2
Warehouse;Turkey;Level 2-4;1;0.8;0.76;3;257;4;1;0;0;low;M;9
Operations;Turkey;Level 2-4;1;0.8;0.76;5;269;2;0;0;0;medium;F;2
Sales;US;Level 2-4;0;0.8;0.76;3;224;2;0;0;0;medium;F;3
Finance;Korea;Level 2-4;1;0.8;0.76;3;262;2;0;0;0;medium;F;10
Human Resources;Turkey;Level 2-4;1;0.8;0.76;5;181;3;0;0;0;high;M;7
IT;China;Level 2-4;0;0.8;0.76;3;159;3;0;0;0;medium;M;9
Warehouse;Korea;Level 2-4;0;0.8;0.76;3;207;2;0;0;0;low;M;9
Operations;China;Level 2-4;1;0.8;0.76;3;238;3;0;0;0;medium;F;5
Sales;Turkey;Level 2-4;1;0.8;0.76;2;239;3;0;0;0;high;M;1
Finance;France;Level 2-4;0;0.8;0.76;4;206;2;1;0;0;low;F;10
Human Resources;China;Level 2-4;1;0.8;0.76;4;159;4;1;0;0;low;M;5
IT;China;Level 2-4;0;0.8;0.76;3;207;2;0;0;0;medium;M;10
Warehouse;US;Level 2-4;0;0.8;0.76;4;262;2;0;0;0;low;M;10
Operations;Turkey;Level 2-4;1;0.8;0.76;3;251;2;1;0;0;low;M;3
Sales;Turkey;Level 2-4;0;0.8;0.76;5;188;3;0;0;0;low;F;7
Finance;Korea;Level 2-4;0;0.8;0.76;5;254;2;1;0;0;low;F;4
Human Resources;Australia;Level 2-4;1;0.8;0.76;4;234;3;0;0;0;high;M;10
IT;US;Level 2-4;0;0.8;0.76;3;246;3;0;0;0;medium;F;2
Warehouse;US;Level 2-4;1;0.8;0.76;4;158;3;0;0;0;low;M;3
Operations;UK;Level 2-4;1;0.8;0.76;4;220;3;0;0;0;medium;M;4
Sales;US;Level 2-4;1;0.8;0.76;4;257;3;0;0;0;medium;M;8
Finance;Korea;Level 2-4;1;0.8;0.76;4;143;2;1;0;0;medium;F;3
Human Resources;Turkey;Level 2-4;1;0.8;0.76;4;163;3;0;0;0;high;M;4
IT;Australia;Level 2-4;1;0.8;0.76;3;171;4;0;0;0;low;M;8
Warehouse;Korea;Level 2-4;1;0.8;0.76;3;261;4;0;0;0;medium;F;7
Operations;China;Level 2-4;0;0.8;0.76;3;212;3;0;0;0;medium;M;10
Sales;Japan;Level 2-4;1;0.8;0.76;3;176;2;0;0;0;low;F;10
Finance;China;Level 2-4;0;0.8;0.76;4;257;4;0;0;0;low;M;5
Human Resources;China;Level 2-4;1;0.8;0.76;4;133;2;0;0;0;low;F;10
IT;Turkey;Level 2-4;1;0.8;0.76;3;153;3;0;0;0;medium;F;3
Warehouse;Australia;Level 2-4;0;0.8;0.76;6;218;6;0;0;0;medium;M;1
Operations;Japan;Level 2-4;0;0.8;0.76;4;164;2;0;0;0;low;F;9
Sales;France;Level 2-4;0;0.8;0.76;3;256;2;0;0;0;medium;F;9
Finance;Australia;Level 2-4;0;0.8;0.76;2;150;2;0;0;0;medium;F;9
Human Resources;US;Level 2-4;0;0.8;0.76;2;107;4;0;0;0;high;F;4
IT;Korea;Level 2-4;0;0.8;0.76;6;219;4;1;0;0;medium;M;6
Warehouse;Turkey;Level 2-4;1;0.8;0.76;6;237;5;0;0;0;high;M;2
Operations;Japan;Level 2-4;1;0.8;0.76;5;246;2;1;0;0;low;F;4
Sales;France;Level 2-4;0;0.8;0.76;4;198;3;0;0;0;medium;F;1
Finance;France;Level 2-4;1;0.8;0.76;4;176;6;1;0;0;high;M;5
Human Resources;Colombia;Level 2-4;1;0.8;0.76;5;168;2;1;0;0;high;F;3
IT;Turkey;Level 2-4;0;0.8;0.76;5;173;4;0;0;0;medium;M;4
Warehouse;Turkey;Level 2-4;1;0.8;0.76;4;106;2;1;0;0;low;F;10
